Sum of transaction_id,transaction_time,transaction_qty,Sum of unit_price,Sum of Total_bill,Year,Month,Day,Sum of product_id,store_location,Sum of store_id,Size,product_type,product_detail,product_category,Month Name,Sum of Month,Sum of Hour,Sum of Day of Week,Day Name
27,1899-12-30 08:33:08,1,4,4,2023,January,1,76,Lower Manhattan,5,Not Defined,Biscotti,Chocolate Chip Biscotti,Bakery,January,1,8,0,Sunday
28,1899-12-30 08:35:03,2,3,6,2023,January,1,45,Lower Manhattan,5,Large,Brewed herbal tea,Peppermint,Tea,January,1,8,0,Sunday
29,1899-12-30 08:35:03,1,4,4,2023,January,1,71,Lower Manhattan,5,Not Defined,Pastry,Chocolate Croissant,Bakery,January,1,8,0,Sunday
30,1899-12-30 08:41:57,2,4,8,2023,January,1,40,Hell's Kitchen,8,Not Defined,Barista Espresso,Cappuccino,Coffee,January,1,8,0,Sunday
31,1899-12-30 08:52:03,1,4,4,2023,January,1,38,Hell's Kitchen,8,Not Defined,Barista Espresso,Latte,Coffee,January,1,8,0,Sunday
32,1899-12-30 08:52:32,1,3,3,2023,January,1,26,Lower Manhattan,5,Regular,Organic brewed coffee,Brazilian,Coffee,January,1,8,0,Sunday
33,1899-12-30 08:54:33,2,4,7,2023,January,1,27,Lower Manhattan,5,Large,Organic brewed coffee,Brazilian,Coffee,January,1,8,0,Sunday
34,1899-12-30 08:56:27,2,2,5,2023,January,1,29,Lower Manhattan,5,Regular,Gourmet brewed coffee,Columbian Medium Roast,Coffee,January,1,8,0,Sunday
35,1899-12-30 08:57:46,1,2,2,2023,January,1,54,Hell's Kitchen,8,Regular,Brewed Chai tea,Morning Sunrise Chai,Tea,January,1,8,0,Sunday
36,1899-12-30 08:58:55,1,3,3,2023,January,1,26,Lower Manhattan,5,Regular,Organic brewed coffee,Brazilian,Coffee,January,1,8,0,Sunday
37,1899-12-30 09:00:12,1,4,4,2023,January,1,55,Lower Manhattan,5,Large,Brewed Chai tea,Morning Sunrise Chai,Tea,January,1,9,0,Sunday
38,1899-12-30 09:00:24,2,4,8,2023,January,1,40,Hell's Kitchen,8,Not Defined,Barista Espresso,Cappuccino,Coffee,January,1,9,0,Sunday
39,1899-12-30 09:07:13,1,3,3,2023,January,1,45,Hell's Kitchen,8,Large,Brewed herbal tea,Peppermint,Tea,January,1,9,0,Sunday
40,1899-12-30 09:08:09,2,3,6,2023,January,1,45,Hell's Kitchen,8,Large,Brewed herbal tea,Peppermint,Tea,January,1,9,0,Sunday
41,1899-12-30 09:08:13,1,3,3,2023,January,1,24,Hell's Kitchen,8,Large,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,9,0,Sunday
42,1899-12-30 09:10:30,2,4,8,2023,January,1,60,Lower Manhattan,5,Regular,Hot chocolate,Sustainably Grown Organic,Drinking Chocolate,January,1,9,0,Sunday
43,1899-12-30 09:10:30,1,4,4,2023,January,1,78,Lower Manhattan,5,Not Defined,Scone,Scottish Cream Scone,Bakery,January,1,9,0,Sunday
44,1899-12-30 09:11:06,1,3,3,2023,January,1,56,Lower Manhattan,5,Regular,Brewed Chai tea,Spicy Eye Opener Chai,Tea,January,1,9,0,Sunday
45,1899-12-30 09:11:06,1,3,3,2023,January,1,77,Lower Manhattan,5,Not Defined,Scone,Oatmeal Scone,Bakery,January,1,9,0,Sunday
46,1899-12-30 09:13:01,1,2,2,2023,January,1,44,Lower Manhattan,5,Regular,Brewed herbal tea,Peppermint,Tea,January,1,9,0,Sunday
47,1899-12-30 09:13:15,2,3,5,2023,January,1,56,Lower Manhattan,5,Regular,Brewed Chai tea,Spicy Eye Opener Chai,Tea,January,1,9,0,Sunday
48,1899-12-30 09:14:16,1,2,2,2023,January,1,48,Lower Manhattan,5,Regular,Brewed Black tea,English Breakfast,Tea,January,1,9,0,Sunday
49,1899-12-30 09:14:17,1,2,2,2023,January,1,23,Hell's Kitchen,8,Regular,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,9,0,Sunday
50,1899-12-30 09:14:25,1,2,2,2023,January,1,46,Hell's Kitchen,8,Regular,Brewed Green tea,Serenity Green Tea,Tea,January,1,9,0,Sunday
51,1899-12-30 09:14:41,1,3,3,2023,January,1,32,Hell's Kitchen,8,Regular,Gourmet brewed coffee,Ethiopia,Coffee,January,1,9,0,Sunday
52,1899-12-30 09:15:09,2,3,6,2023,January,1,47,Lower Manhattan,5,Large,Brewed Green tea,Serenity Green Tea,Tea,January,1,9,0,Sunday
53,1899-12-30 09:15:13,2,3,6,2023,January,1,43,Lower Manhattan,5,Large,Brewed herbal tea,Lemon Grass,Tea,January,1,9,0,Sunday
54,1899-12-30 09:19:21,2,2,4,2023,January,1,25,Lower Manhattan,5,Small,Organic brewed coffee,Brazilian,Coffee,January,1,9,0,Sunday
55,1899-12-30 09:19:26,1,4,4,2023,January,1,59,Hell's Kitchen,8,Large,Hot chocolate,Dark chocolate,Drinking Chocolate,January,1,9,0,Sunday
56,1899-12-30 09:21:08,1,4,4,2023,January,1,38,Lower Manhattan,5,Not Defined,Barista Espresso,Latte,Coffee,January,1,9,0,Sunday
57,1899-12-30 09:22:17,1,3,3,2023,January,1,45,Hell's Kitchen,8,Large,Brewed herbal tea,Peppermint,Tea,January,1,9,0,Sunday
58,1899-12-30 09:22:46,1,2,2,2023,January,1,34,Lower Manhattan,5,Small,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,9,0,Sunday
59,1899-12-30 09:29:56,2,4,8,2023,January,1,36,Hell's Kitchen,8,Large,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,9,0,Sunday
60,1899-12-30 09:29:56,1,4,4,2023,January,1,74,Hell's Kitchen,8,Not Defined,Biscotti,Ginger Biscotti,Bakery,January,1,9,0,Sunday
61,1899-12-30 09:29:57,1,3,3,2023,January,1,53,Hell's Kitchen,8,Large,Brewed Chai tea,Traditional Blend Chai,Tea,January,1,9,0,Sunday
62,1899-12-30 09:34:17,2,4,8,2023,January,1,41,Hell's Kitchen,8,Large,Barista Espresso,Cappuccino,Coffee,January,1,9,0,Sunday
63,1899-12-30 09:40:13,1,4,4,2023,January,1,41,Lower Manhattan,5,Large,Barista Espresso,Cappuccino,Coffee,January,1,9,0,Sunday
64,1899-12-30 09:41:22,2,3,6,2023,January,1,45,Lower Manhattan,5,Large,Brewed herbal tea,Peppermint,Tea,January,1,9,0,Sunday
65,1899-12-30 09:41:22,1,4,4,2023,January,1,79,Lower Manhattan,5,Not Defined,Scone,Jumbo Savory Scone,Bakery,January,1,9,0,Sunday
66,1899-12-30 09:44:20,2,2,5,2023,January,1,54,Lower Manhattan,5,Regular,Brewed Chai tea,Morning Sunrise Chai,Tea,January,1,9,0,Sunday
67,1899-12-30 09:44:46,1,3,3,2023,January,1,24,Lower Manhattan,5,Large,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,9,0,Sunday
68,1899-12-30 09:46:46,2,3,6,2023,January,1,37,Lower Manhattan,5,Not Defined,Barista Espresso,Espresso shot,Coffee,January,1,9,0,Sunday
69,1899-12-30 09:47:40,2,4,8,2023,January,1,40,Hell's Kitchen,8,Not Defined,Barista Espresso,Cappuccino,Coffee,January,1,9,0,Sunday
70,1899-12-30 09:50:44,2,3,6,2023,January,1,37,Lower Manhattan,5,Not Defined,Barista Espresso,Espresso shot,Coffee,January,1,9,0,Sunday
71,1899-12-30 09:50:44,1,3,3,2023,January,1,69,Lower Manhattan,5,Not Defined,Biscotti,Hazelnut Biscotti,Bakery,January,1,9,0,Sunday
72,1899-12-30 09:52:58,1,2,2,2023,January,1,50,Lower Manhattan,5,Regular,Brewed Black tea,Earl Grey,Tea,January,1,9,0,Sunday
73,1899-12-30 09:53:28,1,3,3,2023,January,1,47,Hell's Kitchen,8,Large,Brewed Green tea,Serenity Green Tea,Tea,January,1,9,0,Sunday
74,1899-12-30 09:53:44,2,4,8,2023,January,1,40,Hell's Kitchen,8,Not Defined,Barista Espresso,Cappuccino,Coffee,January,1,9,0,Sunday
75,1899-12-30 09:53:44,1,3,3,2023,January,1,72,Hell's Kitchen,8,Not Defined,Scone,Ginger Scone,Bakery,January,1,9,0,Sunday
76,1899-12-30 09:53:49,1,3,3,2023,January,1,35,Hell's Kitchen,8,Regular,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,9,0,Sunday
77,1899-12-30 09:54:46,1,2,2,2023,January,1,23,Lower Manhattan,5,Regular,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,9,0,Sunday
78,1899-12-30 09:55:16,2,3,6,2023,January,1,43,Lower Manhattan,5,Large,Brewed herbal tea,Lemon Grass,Tea,January,1,9,0,Sunday
79,1899-12-30 09:56:30,1,2,2,2023,January,1,22,Hell's Kitchen,8,Small,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,9,0,Sunday
80,1899-12-30 10:00:39,2,3,6,2023,January,1,32,Hell's Kitchen,8,Regular,Gourmet brewed coffee,Ethiopia,Coffee,January,1,10,0,Sunday
81,1899-12-30 10:03:55,2,4,8,2023,January,1,36,Hell's Kitchen,8,Large,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,10,0,Sunday
82,1899-12-30 10:14:49,1,3,3,2023,January,1,26,Lower Manhattan,5,Regular,Organic brewed coffee,Brazilian,Coffee,January,1,10,0,Sunday
83,1899-12-30 10:14:49,1,4,4,2023,January,1,71,Lower Manhattan,5,Not Defined,Pastry,Chocolate Croissant,Bakery,January,1,10,0,Sunday
84,1899-12-30 10:16:30,2,3,6,2023,January,1,32,Lower Manhattan,5,Regular,Gourmet brewed coffee,Ethiopia,Coffee,January,1,10,0,Sunday
85,1899-12-30 10:16:33,1,2,2,2023,January,1,54,Hell's Kitchen,8,Regular,Brewed Chai tea,Morning Sunrise Chai,Tea,January,1,10,0,Sunday
86,1899-12-30 10:18:14,2,4,8,2023,January,1,41,Hell's Kitchen,8,Large,Barista Espresso,Cappuccino,Coffee,January,1,10,0,Sunday
87,1899-12-30 10:18:52,2,2,4,2023,January,1,25,Lower Manhattan,5,Small,Organic brewed coffee,Brazilian,Coffee,January,1,10,0,Sunday
88,1899-12-30 10:19:42,2,2,5,2023,January,1,23,Lower Manhattan,5,Regular,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,10,0,Sunday
89,1899-12-30 10:24:19,1,2,2,2023,January,1,54,Hell's Kitchen,8,Regular,Brewed Chai tea,Morning Sunrise Chai,Tea,January,1,10,0,Sunday
90,1899-12-30 10:25:22,2,3,5,2023,January,1,56,Hell's Kitchen,8,Regular,Brewed Chai tea,Spicy Eye Opener Chai,Tea,January,1,10,0,Sunday
91,1899-12-30 10:25:45,2,4,7,2023,January,1,58,Lower Manhattan,5,Regular,Hot chocolate,Dark chocolate,Drinking Chocolate,January,1,10,0,Sunday
92,1899-12-30 10:25:45,1,4,4,2023,January,1,74,Lower Manhattan,5,Not Defined,Biscotti,Ginger Biscotti,Bakery,January,1,10,0,Sunday
93,1899-12-30 10:27:48,2,3,6,2023,January,1,47,Hell's Kitchen,8,Large,Brewed Green tea,Serenity Green Tea,Tea,January,1,10,0,Sunday
94,1899-12-30 10:30:07,1,3,3,2023,January,1,35,Lower Manhattan,5,Regular,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,10,0,Sunday
95,1899-12-30 10:30:07,1,3,3,2023,January,1,70,Lower Manhattan,5,Not Defined,Scone,Cranberry Scone,Bakery,January,1,10,0,Sunday
96,1899-12-30 10:35:47,1,4,4,2023,January,1,60,Hell's Kitchen,8,Regular,Hot chocolate,Sustainably Grown Organic,Drinking Chocolate,January,1,10,0,Sunday
97,1899-12-30 10:41:53,1,4,4,2023,January,1,59,Lower Manhattan,5,Large,Hot chocolate,Dark chocolate,Drinking Chocolate,January,1,10,0,Sunday
98,1899-12-30 10:47:53,2,4,8,2023,January,1,36,Lower Manhattan,5,Large,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,10,0,Sunday
99,1899-12-30 10:49:13,2,3,6,2023,January,1,51,Hell's Kitchen,8,Large,Brewed Black tea,Earl Grey,Tea,January,1,10,0,Sunday
100,1899-12-30 10:49:51,2,5,10,2023,January,1,61,Lower Manhattan,5,Large,Hot chocolate,Sustainably Grown Organic,Drinking Chocolate,January,1,10,0,Sunday
101,1899-12-30 10:51:17,1,3,3,2023,January,1,47,Lower Manhattan,5,Large,Brewed Green tea,Serenity Green Tea,Tea,January,1,10,0,Sunday
102,1899-12-30 10:52:44,2,2,5,2023,January,1,23,Hell's Kitchen,8,Regular,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,10,0,Sunday
103,1899-12-30 10:52:44,1,4,4,2023,January,1,73,Hell's Kitchen,8,Not Defined,Pastry,Almond Croissant,Bakery,January,1,10,0,Sunday
104,1899-12-30 10:56:14,1,4,4,2023,January,1,38,Lower Manhattan,5,Not Defined,Barista Espresso,Latte,Coffee,January,1,10,0,Sunday
105,1899-12-30 10:56:14,1,4,4,2023,January,1,76,Lower Manhattan,5,Not Defined,Biscotti,Chocolate Chip Biscotti,Bakery,January,1,10,0,Sunday
106,1899-12-30 11:01:48,1,2,2,2023,January,1,22,Astoria,3,Small,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,11,0,Sunday
107,1899-12-30 11:01:58,1,4,4,2023,January,1,38,Astoria,3,Not Defined,Barista Espresso,Latte,Coffee,January,1,11,0,Sunday
108,1899-12-30 11:01:58,1,4,4,2023,January,1,75,Astoria,3,Not Defined,Pastry,Croissant,Bakery,January,1,11,0,Sunday
109,1899-12-30 11:03:25,2,3,6,2023,January,1,47,Lower Manhattan,5,Large,Brewed Green tea,Serenity Green Tea,Tea,January,1,11,0,Sunday
110,1899-12-30 11:03:25,1,4,4,2023,January,1,75,Lower Manhattan,5,Not Defined,Pastry,Croissant,Bakery,January,1,11,0,Sunday
111,1899-12-30 11:04:32,2,4,8,2023,January,1,39,Hell's Kitchen,8,Regular,Barista Espresso,Latte,Coffee,January,1,11,0,Sunday
112,1899-12-30 11:08:11,1,4,4,2023,January,1,59,Astoria,3,Large,Hot chocolate,Dark chocolate,Drinking Chocolate,January,1,11,0,Sunday
113,1899-12-30 11:08:59,2,3,6,2023,January,1,51,Hell's Kitchen,8,Large,Brewed Black tea,Earl Grey,Tea,January,1,11,0,Sunday
114,1899-12-30 11:09:01,1,4,4,2023,January,1,59,Astoria,3,Large,Hot chocolate,Dark chocolate,Drinking Chocolate,January,1,11,0,Sunday
115,1899-12-30 11:10:21,1,3,3,2023,January,1,47,Astoria,3,Large,Brewed Green tea,Serenity Green Tea,Tea,January,1,11,0,Sunday
116,1899-12-30 11:10:21,1,4,4,2023,January,1,79,Astoria,3,Not Defined,Scone,Jumbo Savory Scone,Bakery,January,1,11,0,Sunday
117,1899-12-30 11:10:58,1,2,2,2023,January,1,46,Astoria,3,Regular,Brewed Green tea,Serenity Green Tea,Tea,January,1,11,0,Sunday
118,1899-12-30 11:12:29,1,3,3,2023,January,1,43,Astoria,3,Large,Brewed herbal tea,Lemon Grass,Tea,January,1,11,0,Sunday
119,1899-12-30 11:16:02,2,3,6,2023,January,1,45,Astoria,3,Large,Brewed herbal tea,Peppermint,Tea,January,1,11,0,Sunday
120,1899-12-30 11:21:00,2,2,5,2023,January,1,54,Hell's Kitchen,8,Regular,Brewed Chai tea,Morning Sunrise Chai,Tea,January,1,11,0,Sunday
121,1899-12-30 11:21:04,2,3,6,2023,January,1,51,Lower Manhattan,5,Large,Brewed Black tea,Earl Grey,Tea,January,1,11,0,Sunday
122,1899-12-30 11:21:14,1,4,4,2023,January,1,60,Astoria,3,Regular,Hot chocolate,Sustainably Grown Organic,Drinking Chocolate,January,1,11,0,Sunday
123,1899-12-30 11:23:01,1,2,2,2023,January,1,31,Hell's Kitchen,8,Small,Gourmet brewed coffee,Ethiopia,Coffee,January,1,11,0,Sunday
124,1899-12-30 11:23:43,2,4,8,2023,January,1,60,Lower Manhattan,5,Regular,Hot chocolate,Sustainably Grown Organic,Drinking Chocolate,January,1,11,0,Sunday
125,1899-12-30 11:23:43,1,3,3,2023,January,1,77,Lower Manhattan,5,Not Defined,Scone,Oatmeal Scone,Bakery,January,1,11,0,Sunday
126,1899-12-30 11:25:35,2,3,6,2023,January,1,49,Astoria,3,Large,Brewed Black tea,English Breakfast,Tea,January,1,11,0,Sunday
127,1899-12-30 11:25:37,2,4,8,2023,January,1,40,Lower Manhattan,5,Not Defined,Barista Espresso,Cappuccino,Coffee,January,1,11,0,Sunday
128,1899-12-30 11:28:15,2,2,5,2023,January,1,44,Hell's Kitchen,8,Regular,Brewed herbal tea,Peppermint,Tea,January,1,11,0,Sunday
129,1899-12-30 11:28:29,2,4,7,2023,January,1,33,Astoria,3,Large,Gourmet brewed coffee,Ethiopia,Coffee,January,1,11,0,Sunday
130,1899-12-30 11:29:25,2,3,5,2023,January,1,56,Lower Manhattan,5,Regular,Brewed Chai tea,Spicy Eye Opener Chai,Tea,January,1,11,0,Sunday
131,1899-12-30 11:29:57,2,3,6,2023,January,1,35,Hell's Kitchen,8,Regular,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,11,0,Sunday
132,1899-12-30 11:29:57,1,4,4,2023,January,1,78,Hell's Kitchen,8,Not Defined,Scone,Scottish Cream Scone,Bakery,January,1,11,0,Sunday
133,1899-12-30 11:30:22,1,2,2,2023,January,1,23,Hell's Kitchen,8,Regular,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,11,0,Sunday
134,1899-12-30 11:31:35,1,3,3,2023,January,1,24,Hell's Kitchen,8,Large,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,11,0,Sunday
135,1899-12-30 11:31:43,2,3,6,2023,January,1,51,Lower Manhattan,5,Large,Brewed Black tea,Earl Grey,Tea,January,1,11,0,Sunday
136,1899-12-30 11:31:43,1,3,3,2023,January,1,72,Lower Manhattan,5,Not Defined,Scone,Ginger Scone,Bakery,January,1,11,0,Sunday
137,1899-12-30 11:31:53,2,2,5,2023,January,1,54,Lower Manhattan,5,Regular,Brewed Chai tea,Morning Sunrise Chai,Tea,January,1,11,0,Sunday
138,1899-12-30 11:31:53,1,4,4,2023,January,1,75,Lower Manhattan,5,Not Defined,Pastry,Croissant,Bakery,January,1,11,0,Sunday
139,1899-12-30 11:39:14,1,4,4,2023,January,1,60,Lower Manhattan,5,Regular,Hot chocolate,Sustainably Grown Organic,Drinking Chocolate,January,1,11,0,Sunday
140,1899-12-30 11:39:14,1,4,4,2023,January,1,71,Lower Manhattan,5,Not Defined,Pastry,Chocolate Croissant,Bakery,January,1,11,0,Sunday
141,1899-12-30 11:40:26,2,2,5,2023,January,1,52,Astoria,3,Regular,Brewed Chai tea,Traditional Blend Chai,Tea,January,1,11,0,Sunday
142,1899-12-30 11:43:57,2,2,4,2023,January,1,25,Astoria,3,Small,Organic brewed coffee,Brazilian,Coffee,January,1,11,0,Sunday
143,1899-12-30 11:44:09,1,4,4,2023,January,1,38,Lower Manhattan,5,Not Defined,Barista Espresso,Latte,Coffee,January,1,11,0,Sunday
144,1899-12-30 11:47:13,1,3,3,2023,January,1,30,Astoria,3,Large,Gourmet brewed coffee,Columbian Medium Roast,Coffee,January,1,11,0,Sunday
145,1899-12-30 11:48:56,2,2,5,2023,January,1,50,Hell's Kitchen,8,Regular,Brewed Black tea,Earl Grey,Tea,January,1,11,0,Sunday
146,1899-12-30 11:49:42,1,2,2,2023,January,1,54,Hell's Kitchen,8,Regular,Brewed Chai tea,Morning Sunrise Chai,Tea,January,1,11,0,Sunday
147,1899-12-30 11:49:42,1,3,3,2023,January,1,72,Hell's Kitchen,8,Not Defined,Scone,Ginger Scone,Bakery,January,1,11,0,Sunday
148,1899-12-30 11:50:16,2,3,6,2023,January,1,26,Astoria,3,Regular,Organic brewed coffee,Brazilian,Coffee,January,1,11,0,Sunday
149,1899-12-30 11:50:23,2,4,8,2023,January,1,36,Astoria,3,Large,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,11,0,Sunday
150,1899-12-30 11:50:58,2,3,6,2023,January,1,45,Lower Manhattan,5,Large,Brewed herbal tea,Peppermint,Tea,January,1,11,0,Sunday
151,1899-12-30 11:51:30,2,4,7,2023,January,1,33,Hell's Kitchen,8,Large,Gourmet brewed coffee,Ethiopia,Coffee,January,1,11,0,Sunday
152,1899-12-30 11:52:31,1,3,3,2023,January,1,57,Lower Manhattan,5,Large,Brewed Chai tea,Spicy Eye Opener Chai,Tea,January,1,11,0,Sunday
153,1899-12-30 11:57:17,2,3,6,2023,January,1,37,Astoria,3,Not Defined,Barista Espresso,Espresso shot,Coffee,January,1,11,0,Sunday
154,1899-12-30 11:57:59,1,2,2,2023,January,1,50,Astoria,3,Regular,Brewed Black tea,Earl Grey,Tea,January,1,11,0,Sunday
155,1899-12-30 11:57:59,1,4,4,2023,January,1,79,Astoria,3,Not Defined,Scone,Jumbo Savory Scone,Bakery,January,1,11,0,Sunday
156,1899-12-30 11:58:15,2,4,8,2023,January,1,60,Astoria,3,Regular,Hot chocolate,Sustainably Grown Organic,Drinking Chocolate,January,1,11,0,Sunday
157,1899-12-30 12:00:20,1,2,2,2023,January,1,29,Lower Manhattan,5,Regular,Gourmet brewed coffee,Columbian Medium Roast,Coffee,January,1,12,0,Sunday
158,1899-12-30 12:01:00,2,3,6,2023,January,1,49,Astoria,3,Large,Brewed Black tea,English Breakfast,Tea,January,1,12,0,Sunday
159,1899-12-30 12:01:20,2,3,6,2023,January,1,35,Astoria,3,Regular,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,12,0,Sunday
160,1899-12-30 12:01:20,1,4,4,2023,January,1,75,Astoria,3,Not Defined,Pastry,Croissant,Bakery,January,1,12,0,Sunday
161,1899-12-30 12:03:09,1,4,4,2023,January,1,36,Hell's Kitchen,8,Large,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,12,0,Sunday
162,1899-12-30 12:03:38,1,3,3,2023,January,1,47,Hell's Kitchen,8,Large,Brewed Green tea,Serenity Green Tea,Tea,January,1,12,0,Sunday
163,1899-12-30 12:03:43,1,2,2,2023,January,1,44,Astoria,3,Regular,Brewed herbal tea,Peppermint,Tea,January,1,12,0,Sunday
164,1899-12-30 12:04:22,2,4,7,2023,January,1,27,Hell's Kitchen,8,Large,Organic brewed coffee,Brazilian,Coffee,January,1,12,0,Sunday
165,1899-12-30 12:05:31,2,2,5,2023,January,1,52,Astoria,3,Regular,Brewed Chai tea,Traditional Blend Chai,Tea,January,1,12,0,Sunday
166,1899-12-30 12:06:29,1,2,2,2023,January,1,46,Lower Manhattan,5,Regular,Brewed Green tea,Serenity Green Tea,Tea,January,1,12,0,Sunday
167,1899-12-30 12:07:42,1,3,3,2023,January,1,24,Hell's Kitchen,8,Large,Drip coffee,Our Old Time Diner Blend,Coffee,January,1,12,0,Sunday
168,1899-12-30 12:08:21,1,3,3,2023,January,1,43,Lower Manhattan,5,Large,Brewed herbal tea,Lemon Grass,Tea,January,1,12,0,Sunday
169,1899-12-30 12:08:36,1,3,3,2023,January,1,35,Hell's Kitchen,8,Regular,Premium brewed coffee,Jamaican Coffee River,Coffee,January,1,12,0,Sunday
170,1899-12-30 12:09:11,2,2,4,2023,January,1,28,Astoria,3,Small,Gourmet brewed coffee,Columbian Medium Roast,Coffee,January,1,12,0,Sunday
